,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bangladesh,BGD,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,7.525468342,9.938961597,7.530363111,9.962728688,9.245060074,6.379152538,14.94138724,21.97795956,17.15023445,11.18249747,7.564895882,5.446710628,5.792166024,6.871023713,6.405571233,5.977317616,6.334182637,6.714386733,5.094335008,5.349110054,14.95505985,23.32531725,20.76329232,18.72579851,17.75879494,19.48885662,16.23313789,11.38685067,14.03106947,9.69464721,8.708719724,7.48246638,6.778699584,7.196009361,6.569696134,6.114567592,7.605077562,8.430422512,9.34935801,8.922992128,10.6365012,14.98669936,11.85449679,12.09667159
Bangladesh,BGD,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,,,,,,,,,,,,,25.70307141,21.02949002,33.15626895,39.64842556,31.74416862,33.4985761,30.02688801,26.50367344,33.86106787,37.46003665,32.00531208,29.54614471,24.61672249,31.98550391,24.42316995,17.23811293,16.02549705,16.89447334,12.64392682,11.12691965,11.7616926,11.23477249,10.20227576,7.97999486,7.244784898,9.219579215,5.924345515,4.340940457,4.101750415,3.462268903,4.294609695,3.892664377,3.962794732,4.480528587,4.75760782,5.035638248,6.656778837,6.734048475,8.472970191,7.823738716,7.412662683,8.154161248,8.509330918,7.937171743,7.917782044,8.199988737,7.140174259,
Bangladesh,BGD,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,75.40797539,77.56737442,72.28777133,75.16914785,69.60740129,66.67256145,73.40530889,77.35183581,75.61327536,71.31038289,66.42580661,70.23415222,65.00104256,64.69406917,71.05282344,69.1549625,69.9360636,65.53706913,64.15585076,65.04340857,71.03797534,71.58942214,72.5184132,69.96489223,65.30398318,71.67146412,76.20138103,75.22250913,76.48748213,71.31448568,69.66326044,74.89992913,84.5373955,83.25611079,83.50123629,85.1643228,81.74207615,79.99608451,71.59924728,78.11388433,71.11925735,69.45780932,62.83286585,59.67801265
Bangladesh,BGD,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,,,,,,,,,,,,,,3.428134064,8.747956729,7.20249731,6.15849185,11.98559808,6.50435732,11.87501945,15.69586602,23.19593267,17.1239787,18.40092882,8.390213831,10.92800564,9.150900857,7.828781347,6.908587532,7.767280104,5.030832797,5.550583406,6.155417732,3.941890128,3.325032957,3.662908465,2.740572078,3.726433669,2.043909349,3.960498928,5.112875744,4.689580447,5.061628458,5.913683502,9.045136179,13.47235173,13.2170809,12.70475296,13.66281712,6.336313984,8.557075606,10.36453298,10.54075477,8.989420785,9.040487257,6.639578156,5.713012797,5.594519322,6.848844717,
Bangladesh,BGD,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.93,56.93,56.93,56.93,56.93,55.93,55.93,55.93,55.93,55.93,54.62,54.62,54.62,54.62,53.23,53.23,,53.23,53.23,,,
Bangladesh,BGD,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14,5.14,5.14,5.14,5.14,4.58,4.58,4.58,4.58,4.59,4.45,4.45,4.45,4.45,4.5,4.5,,4.5,4.5,,,
Bangladesh,BGD,Urban population growth (annual %),SP.URB.GROW,4.600266388,5.518329599,6.859338601,6.897414012,6.961815351,7.070169658,7.18928553,7.26130793,7.159250412,6.86339122,6.437073305,5.978651424,5.626003831,5.466283309,7.091382451,10.41320823,10.66725197,10.82142735,10.90885988,10.86550062,10.74558868,8.837595611,5.180687427,5.151110586,5.152410799,5.14416506,5.146630099,5.129248691,5.086168099,4.990192617,4.887500393,4.551610873,3.960619432,3.880829853,3.851949035,3.831382824,3.826253722,3.79239605,3.756717392,3.691629059,3.610828746,4.008583331,4.52227237,4.413503939,4.273329029,4.111353913,3.953764585,3.809533544,3.70151349,3.642631868,3.627799773,3.618167904,3.584756437,3.531930348,3.474631189,3.396172612,3.325113119,3.255244392,3.185592834,3.130223258
Bangladesh,BGD,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,2.593652267,2.59514028,2.591779733,2.582008127,2.564570416,2.540682428,2.568737303,2.586790705,2.59518671,2.596111198,2.593204769,2.644434259,2.690531485,2.734403533,2.777492876,2.819862644,2.851987937,2.87261401,2.880877272,2.877887853,2.865960173,2.886459561,2.897264533,2.898705726,2.891694954,2.877923319,2.914235324,2.946970103,2.9764324,3.003228044,3.028454063,3.08946618,3.148789284,3.206444072,3.261766653,3.315152523,3.411445191,3.504686457,3.597594279,3.69319027,3.793352173,3.8859155,3.9732223,4.058045177,4.144549824,4.235336021,4.347685041,4.456505073,4.55764285,4.646478295,4.721130413,4.827324993,4.92449622,5.007072317,5.067167841,5.102653677,5.14020713,5.157592105,5.168531846,5.191952746
Bangladesh,BGD,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,6.505944305,6.485302733,6.485825205,6.495469566,6.498238563,6.485632901,6.454412649,6.414072447,6.367309702,6.321469709,6.281953665,6.290791884,6.315154194,6.352884694,6.389502917,6.404670616,6.296790796,6.157567548,5.972144295,5.737470379,5.471921583,5.300629819,5.126947303,4.983387239,4.922408311,4.972135028,5.077898294,5.277239426,5.536865527,5.81385766,6.082573935,6.350729832,6.617513321,6.868223899,7.085753083,7.260151866,7.382226149,7.468484179,7.523103271,7.551178379,7.55640392,7.529603,7.480293469,7.429142491,7.403360137,7.416980867,7.454384158,7.529583285,7.630072281,7.73054506,7.811804229,7.897493954,7.968307403,8.026197051,8.072352543,8.104994225,8.128657842,8.138722459,8.140801542,8.141060231
